Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2021-09-01 17:32:50,false,"Pool Swimming","1,000","198","00:32:39","119","150","1.3","--","--","1:48","1:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","553","41","31","--","--","0:00","0.0","0:00","No","00:10.18","39","0.0","--","--","--","--","--","--","--","00:00:00","00:35:55","--","--"
Running,2021-09-01 05:29:04,false,"Athens Running","7.03","795","00:51:35","159","182","3.5","152","194","7:20","4:25","191","175","1.42","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:12.62","18","0.0","--","--","--","--","--","--","--","00:00:00","01:01:37","719","736"
Pool Swimming,2021-08-31 17:34:42,false,"Pool Swimming","1,075","225","00:43:15","118","159","1.4","--","--","1:38","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","545","37","31","--","--","0:00","0.0","0:00","No","00:04.57","44","0.0","--","--","--","--","--","--","--","00:00:00","00:47:44","--","--"
Running,2021-08-31 06:21:54,false,"Athens Running","8.02","990","01:04:51","157","175","3.6","148","160","8:05","6:03","455","381","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:07.20","9","0.0","--","--","--","--","--","--","--","00:00:00","01:05:43","634","741"
Indoor Cycling,2021-08-30 19:19:29,false,"Indoor Cycling","0.00","245","00:30:01","114","123","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","30:01.21","1","0.0","--","--","--","--","--","--","--","00:00:00","00:32:04","--","--"
Running,2021-08-29 06:30:32,false,"Athens Running","12.08","1,541","01:40:29","165","177","4.3","147","164","8:19","6:41","759","664","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:48.24","13","0.0","--","--","--","--","--","--","--","00:00:00","01:44:50","581","781"
Running,2021-08-27 06:18:44,false,"Athens Running","6.22","782","00:49:10","162","177","3.6","150","167","7:54","6:41","419","366","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:37.45","7","0.0","--","--","--","--","--","--","--","00:00:00","00:50:28","633","741"
Pool Swimming,2021-08-26 17:21:01,false,"Pool Swimming","1,625","325","00:55:52","124","155","2.0","--","--","1:57","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","990","44","31","--","--","0:00","0.0","0:00","No","00:03.24","58","0.0","--","--","--","--","--","--","--","00:00:00","00:57:41","--","--"
Running,2021-08-26 06:22:45,false,"Athens Running","4.22","523","00:41:19","141","155","2.4","146","164","9:47","8:33","249","202","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:12.70","5","0.0","--","--","--","--","--","--","--","00:00:00","00:41:19","634","741"
Running,2021-08-25 06:16:05,false,"Athens Running","6.23","772","00:47:33","162","177","3.7","151","182","7:38","4:24","386","378","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:26.34","7","0.0","--","--","--","--","--","--","--","00:00:00","00:48:06","634","741"
Pool Swimming,2021-08-24 17:17:06,false,"Pool Swimming","1,000","202","00:34:51","141","181","2.6","--","--","1:47","1:01","--","--","0.00","0.0","0.0","0.0","0.0","0.0","555","41","31","--","--","0:00","0.0","0:00","No","00:09.62","57","0.0","--","--","--","--","--","--","--","00:00:00","00:39:20","--","--"
Running,2021-08-24 06:14:25,false,"Athens Running","9.00","1,118","01:10:20","163","175","3.9","149","164","7:49","6:36","553","524","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.53","10","0.0","--","--","--","--","--","--","--","00:00:00","01:11:07","628","741"
Running,2021-08-22 07:54:52,false,"Athens Running","8.01","1,048","01:04:54","166","178","4.0","147","159","8:06","6:57","513","429","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:04.03","9","0.0","--","--","--","--","--","--","--","00:00:00","01:05:10","629","741"
Running,2021-08-21 09:27:31,false,"Athens Running","3.32","502","00:31:56","157","165","3.1","143","154","9:37","8:16","131","73","1.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:59.22","4","0.0","--","--","--","--","--","--","--","00:00:00","00:31:56","632","741"
Pool Swimming,2021-08-20 17:07:19,false,"Pool Swimming","1,300","262","00:42:46","125","158","1.9","--","--","1:43","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","672","39","30","--","--","0:00","0.0","0:00","No","00:07.97","57","0.0","--","--","--","--","--","--","--","00:00:00","00:50:24","--","--"
Running,2021-08-19 05:54:27,false,"Athens Running","5.18","638","00:38:43","166","188","3.5","148","194","7:29","4:24","158","158","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.81","14","0.0","--","--","--","--","--","--","--","00:00:00","00:46:46","719","736"
Running,2021-08-18 05:55:24,false,"Athens Running","8.30","1,094","01:05:10","168","177","4.4","146","158","7:51","6:29","502","497","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:17.96","9","0.0","--","--","--","--","--","--","--","00:00:00","01:05:26","630","741"
Pool Swimming,2021-08-17 17:26:30,false,"Pool Swimming","800","163","00:31:04","118","147","1.1","--","--","1:35","0:38","--","--","0.00","0.0","0.0","0.0","0.0","0.0","409","36","32","--","--","0:00","0.0","0:00","No","00:05.85","53","0.0","--","--","--","--","--","--","--","00:00:00","00:31:11","--","--"
Running,2021-08-16 06:20:22,false,"Athens Running","8.70","1,070","01:09:50","169","181","4.8","148","164","8:02","6:10","489","454","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:28.89","9","0.0","--","--","--","--","--","--","--","00:00:00","01:08:09","629","741"
Pool Swimming,2021-08-15 18:09:46,false,"Pool Swimming","1,250","254","00:46:51","120","147","1.6","--","--","1:41","0:57","--","--","0.00","0.0","0.0","0.0","0.0","0.0","636","38","30","--","--","0:00","0.0","0:00","No","00:05.14","73","0.0","--","--","--","--","--","--","--","00:00:00","00:48:34","--","--"
Running,2021-08-13 06:22:10,false,"Athens Running","7.35","974","00:55:50","172","182","4.7","150","165","7:36","6:38","432","380","1.41","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:35.16","8","0.0","--","--","--","--","--","--","--","00:00:00","00:56:09","629","741"
Running,2021-08-12 18:37:02,false,"Athens Running","4.90","724","00:46:26","157","168","3.4","143","160","9:29","6:22","215","207","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","08:21.30","5","0.0","--","--","--","--","--","--","--","00:00:00","00:47:42","629","781"
Running,2021-08-11 06:29:58,false,"Athens Running","4.01","488","00:28:22","170","184","3.5","155","184","7:05","5:45","189","180","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.56","5","0.0","--","--","--","--","--","--","--","00:28:21","00:28:22","635","741"
