"","labs","rows"
"709","Aerobic","4.1 Highly Impacting"
"710","Anaerobic","0.7 No Benefit"
"711","Avg HR","163 bpm"
"712","Max HR","176 bpm"
"713","Time","1:00:47"
"714","Moving Time","1:00:39"
"715","Elapsed Time","1:02:03"
"716","Avg Speed","7.9 mph"
"717","Avg Moving Speed","7.9 mph"
"718","Max Speed","12.2 mph"
"719","Total Ascent","490.5 ft"
"720","Total Descent","402.9 ft"
"721","Min Elev","633.1 ft"
"722","Max Elev","741.5 ft"
"723","Avg Run Cadence","150 spm"
"724","Max Run Cadence","189 spm"
"725","Avg Stride Length","1.41 m"
"726","Moderate","1 min"
"727","Vigorous","60 min
x2"
"728","Total","121 min"
"729","title","Athens Running"
"730","Distance","16.01 mi"
"731","Calories Burned","2,047 C"
"732","Calories Consumed","-- C"
"733","Calories Net","-2,047 C"
"734","Est. Sweat Loss","778 ml"
"735","Fluid Consumed","-- ml"
"736","Fluid Net","-778 ml"
"737","Aerobic","5.0 Overreaching"
"738","Anaerobic","0.0 No Benefit"
"739","Avg HR","167 bpm"
"740","Max HR","182 bpm"
"741","Time","2:09:43"
"742","Moving Time","2:09:28"
"743","Elapsed Time","2:13:05"
"744","Avg Speed","7.4 mph"
"745","Avg Moving Speed","7.4 mph"
"746","Max Speed","9.3 mph"
"747","Total Ascent","817.6 ft"
"748","Total Descent","835.1 ft"
"749","Min Elev","580.7 ft"
"750","Max Elev","780.8 ft"
"751","Avg Run Cadence","148 spm"
"752","Max Run Cadence","173 spm"
"753","Avg Stride Length","1.34 m"
"754","Moderate","1 min"
"755","Vigorous","131 min
x2"
"756","Total","263 min"
"757","title","Athens Running"
"758","Distance","3.48 mi"
"759","Calories Burned","456 C"
"760","Calories Consumed","-- C"
"761","Calories Net","-456 C"
"762","Est. Sweat Loss","201 ml"
"763","Fluid Consumed","-- ml"
"764","Fluid Net","-201 ml"
"765","Aerobic","2.4 Maintaining"
"766","Anaerobic","0.0 No Benefit"
"767","Avg HR","149 bpm"
"768","Max HR","167 bpm"
"769","Time","33:39"
"770","Moving Time","33:38"
"771","Elapsed Time","33:39"
"772","Avg Speed","6.2 mph"
"773","Avg Moving Speed","6.2 mph"
"774","Max Speed","7.5 mph"
"775","Total Ascent","130.3 ft"
"776","Total Descent","112.9 ft"
"777","Min Elev","635.0 ft"
"778","Max Elev","741.5 ft"
"779","Avg Run Cadence","147 spm"
"780","Max Run Cadence","160 spm"
"781","Avg Stride Length","1.14 m"
"782","Moderate","1 min"
"783","Vigorous","31 min
x2"
"784","Total","63 min"
"785","title","Athens Running"
"786","Distance","8.01 mi"
"787","Calories Burned","989 C"
"788","Calories Consumed","-- C"
"789","Calories Net","-989 C"
"790","Est. Sweat Loss","350 ml"
"791","Fluid Consumed","-- ml"
"792","Fluid Net","-350 ml"
"793","Aerobic","4.6 Highly Impacting"
"794","Anaerobic","0.2 No Benefit"
"795","Avg HR","171 bpm"
"796","Max HR","185 bpm"
"797","Time","58:21"
"798","Moving Time","58:12"
"799","Elapsed Time","59:46"
"800","Avg Speed","8.2 mph"
"801","Avg Moving Speed","8.3 mph"
"802","Max Speed","10.2 mph"
"803","Total Ascent","488.9 ft"
"804","Total Descent","413.6 ft"
"805","Min Elev","634.1 ft"
"806","Max Elev","741.5 ft"
"807","Avg Run Cadence","151 spm"
"808","Max Run Cadence","167 spm"
"809","Avg Stride Length","1.46 m"
"810","Moderate","1 min"
"811","Vigorous","58 min
x2"
"812","Total","117 min"
"813","title","Athens Running"
"814","Distance","5.01 mi"
"815","Calories Burned","636 C"
"816","Calories Consumed","-- C"
"817","Calories Net","-636 C"
"818","Est. Sweat Loss","234 ml"
"819","Fluid Consumed","-- ml"
"820","Fluid Net","-234 ml"
"821","Aerobic","3.5 Impacting"
"822","Anaerobic","0.4 No Benefit"
"823","Avg HR","163 bpm"
"824","Max HR","178 bpm"
"825","Time","39:07"
"826","Moving Time","39:07"
"827","Elapsed Time","39:11"
"828","Avg Speed","7.7 mph"
"829","Avg Moving Speed","7.7 mph"
"830","Max Speed","8.7 mph"
"831","Total Ascent","277.7 ft"
"832","Total Descent","260.6 ft"
"833","Min Elev","631.4 ft"
"834","Max Elev","741.5 ft"
"835","Avg Run Cadence","149 spm"
