"","labs","rows"
"5519","Calories Burned","799 C"
"5520","Calories Consumed","-- C"
"5521","Calories Net","-799 C"
"5522","Est. Sweat Loss","290 ml"
"5523","Fluid Consumed","-- ml"
"5524","Fluid Net","-290 ml"
"5525","Aerobic","4.0 Highly Impacting"
"5526","Anaerobic","0.0 No Benefit"
"5527","Avg HR","166 bpm"
"5528","Max HR","182 bpm"
"5529","Time","48:23"
"5530","Moving Time","48:15"
"5531","Elapsed Time","48:40"
"5532","Avg Speed","7.7 mph"
"5533","Avg Moving Speed","7.7 mph"
"5534","Max Speed","8.8 mph"
"5535","Total Ascent","409.6 ft"
"5536","Total Descent","398.3 ft"
"5537","Min Elev","632.8 ft"
"5538","Max Elev","741.5 ft"
"5539","Avg Run Cadence","152 spm"
"5540","Max Run Cadence","167 spm"
"5541","Avg Stride Length","1.36 m"
"5542","title","Athens Running"
"5543","Distance","16.00 mi"
"5544","Calories Burned","1,924 C"
"5545","Calories Consumed","-- C"
"5546","Calories Net","-1,924 C"
"5547","Est. Sweat Loss","793 ml"
"5548","Fluid Consumed","-- ml"
"5549","Fluid Net","-793 ml"
"5550","Aerobic","4.5 Highly Impacting"
"5551","Anaerobic","0.5 No Benefit"
"5552","Avg HR","160 bpm"
"5553","Max HR","178 bpm"
"5554","Time","2:12:15"
"5555","Moving Time","2:11:44"
"5556","Elapsed Time","2:16:25"
"5557","Avg Speed","7.3 mph"
"5558","Avg Moving Speed","7.3 mph"
"5559","Max Speed","10.9 mph"
"5560","Total Ascent","902.8 ft"
"5561","Total Descent","916.0 ft"
"5562","Min Elev","580.7 ft"
"5563","Max Elev","780.8 ft"
"5564","Avg Run Cadence","148 spm"
"5565","Max Run Cadence","184 spm"
"5566","Avg Stride Length","1.32 m"
"5567","title","Athens Running"
"5568","Distance","4.00 mi"
"5569","Calories Burned","567 C"
"5570","Calories Consumed","-- C"
"5571","Calories Net","-567 C"
"5572","Est. Sweat Loss","240 ml"
"5573","Fluid Consumed","-- ml"
"5574","Fluid Net","-240 ml"
"5575","Aerobic","3.0 Impacting"
"5576","Anaerobic","0.0 No Benefit"
"5577","Avg HR","150 bpm"
"5578","Max HR","166 bpm"
"5579","Time","39:59"
"5580","Moving Time","39:50"
"5581","Elapsed Time","39:59"
"5582","Avg Speed","6.0 mph"
"5583","Avg Moving Speed","6.0 mph"
"5584","Max Speed","6.8 mph"
"5585","Total Ascent","217.0 ft"
"5586","Total Descent","179.4 ft"
"5587","Min Elev","634.3 ft"
"5588","Max Elev","741.5 ft"
"5589","Avg Run Cadence","143 spm"
"5590","Max Run Cadence","158 spm"
"5591","Avg Stride Length","1.13 m"
"5592","title","Athens Running"
"5593","Distance","5.01 mi"
"5594","Calories Burned","632 C"
"5595","Calories Consumed","-- C"
"5596","Calories Net","-632 C"
"5597","Est. Sweat Loss","230 ml"
"5598","Fluid Consumed","-- ml"
"5599","Fluid Net","-230 ml"
"5600","Aerobic","3.8 Impacting"
"5601","Anaerobic","0.0 No Benefit"
"5602","Avg HR","166 bpm"
"5603","Max HR","183 bpm"
"5604","Time","38:30"
"5605","Moving Time","38:27"
"5606","Elapsed Time","38:30"
"5607","Avg Speed","7.8 mph"
"5608","Avg Moving Speed","7.8 mph"
"5609","Max Speed","10.9 mph"
"5610","Total Ascent","290.4 ft"
"5611","Total Descent","230.4 ft"
"5612","Min Elev","631.4 ft"
"5613","Max Elev","741.5 ft"
"5614","Avg Run Cadence","151 spm"
"5615","Max Run Cadence","160 spm"
"5616","Avg Stride Length","1.39 m"
"5617","title","Athens Running"
"5618","Distance","8.01 mi"
"5619","Calories Burned","977 C"
"5620","Calories Consumed","-- C"
"5621","Calories Net","-977 C"
"5622","Est. Sweat Loss","361 ml"
"5623","Fluid Consumed","-- ml"
"5624","Fluid Net","-361 ml"
"5625","Aerobic","4.3 Highly Impacting"
"5626","Anaerobic","0.3 No Benefit"
"5627","Avg HR","166 bpm"
"5628","Max HR","179 bpm"
"5629","Time","1:00:11"
"5630","Moving Time","1:00:05"
"5631","Elapsed Time","1:01:06"
"5632","Avg Speed","8.0 mph"
"5633","Avg Moving Speed","8.0 mph"
"5634","Max Speed","12.5 mph"
"5635","Total Ascent","492.2 ft"
"5636","Total Descent","413.9 ft"
"5637","Min Elev","629.8 ft"
"5638","Max Elev","741.5 ft"
"5639","Avg Run Cadence","151 spm"
"5640","Max Run Cadence","184 spm"
"5641","Avg Stride Length","1.42 m"
"5642","title","Athens Running"
"5643","Distance","3.00 mi"
"5644","Calories Burned","409 C"
"5645","Calories Consumed","-- C"
"5646","Calories Net","-409 C"
"5647","Est. Sweat Loss","184 ml"
"5648","Fluid Consumed","-- ml"
"5649","Fluid Net","-184 ml"
"5650","Aerobic","2.4 Maintaining"
"5651","Anaerobic","0.0 No Benefit"
"5652","Avg HR","145 bpm"
"5653","Max HR","166 bpm"
"5654","Time","30:47"
"5655","Moving Time","30:46"
"5656","Elapsed Time","30:47"
"5657","Avg Speed","5.9 mph"
"5658","Avg Moving Speed","5.9 mph"
"5659","Max Speed","7.3 mph"
"5660","Total Ascent","118.3 ft"
"5661","Total Descent","105.0 ft"
"5662","Min Elev","634.1 ft"
"5663","Max Elev","741.5 ft"
"5664","Avg Run Cadence","142 spm"
"5665","Max Run Cadence","152 spm"
"5666","Avg Stride Length","1.11 m"
"5667","title","Running"
"5668","Distance","8.23 mi"
"5669","Calories Burned","1,063 C"
"5670","Calories Consumed","-- C"
"5671","Calories Net","-1,063 C"
"5672","Est. Sweat Loss","388 ml"
"5673","Fluid Consumed","-- ml"
"5674","Fluid Net","-388 ml"
"5675","Aerobic","4.4 Highly Impacting"
"5676","Anaerobic","0.6 No Benefit"
"5677","Avg HR","167 bpm"
"5678","Max HR","179 bpm"
"5679","Time","1:04:44"
"5680","Moving Time","1:04:41"
"5681","Elapsed Time","1:05:01"
"5682","Avg Speed","7.6 mph"
"5683","Avg Moving Speed","7.6 mph"
"5684","Max Speed","11.7 mph"
"5685","Avg Run Cadence","147 spm"
"5686","Max Run Cadence","173 spm"
"5687","Avg Stride Length","1.39 m"
"5688","title","Running"
"5689","Distance","14.01 mi"
"5690","Calories Burned","1,751 C"
"5691","Calories Consumed","-- C"
"5692","Calories Net","-1,751 C"
"5693","Est. Sweat Loss","687 ml"
"5694","Fluid Consumed","-- ml"
"5695","Fluid Net","-687 ml"
"5696","Aerobic","4.7 Highly Impacting"
"5697","Anaerobic","1.8 Some Benefit"
"5698","Avg HR","163 bpm"
"5699","Max HR","176 bpm"
"5700","Time","1:54:37"
"5701","Moving Time","1:54:34"
"5702","Elapsed Time","1:54:37"
"5703","Avg Speed","7.3 mph"
"5704","Avg Moving Speed","7.3 mph"
"5705","Max Speed","9.6 mph"
"5706","Avg Run Cadence","147 spm"
"5707","Max Run Cadence","160 spm"
"5708","Avg Stride Length","1.34 m"
"5709","title","Athens Running"
"5710","Distance","3.10 mi"
"5711","Calories Burned","458 C"
"5712","Calories Consumed","-- C"
"5713","Calories Net","-458 C"
"5714","Est. Sweat Loss","180 ml"
"5715","Fluid Consumed","-- ml"
"5716","Fluid Net","-180 ml"
"5717","Aerobic","3.1 Impacting"
"5718","Anaerobic","0.1 No Benefit"
"5719","Avg HR","156 bpm"
"5720","Max HR","169 bpm"
"5721","Time","30:02"
"5722","Moving Time","30:01"
"5723","Elapsed Time","30:02"
"5724","Avg Speed","6.2 mph"
"5725","Avg Moving Speed","6.2 mph"
"5726","Max Speed","8.1 mph"
"5727","Total Ascent","110.1 ft"
"5728","Total Descent","89.5 ft"
"5729","Min Elev","693.6 ft"
"5730","Max Elev","741.5 ft"
"5731","Avg Run Cadence","142 spm"
"5732","Max Run Cadence","158 spm"
"5733","Avg Stride Length","1.17 m"
"5734","title","Athens Running"
"5735","Distance","5.01 mi"
"5736","Calories Burned","585 C"
"5737","Calories Consumed","-- C"
"5738","Calories Net","-585 C"
"5739","Est. Sweat Loss","215 ml"
"5740","Fluid Consumed","-- ml"
"5741","Fluid Net","-215 ml"
"5742","Aerobic","3.9 Impacting"
"5743","Anaerobic","0.1 No Benefit"
"5744","Avg HR","167 bpm"
"5745","Max HR","184 bpm"
"5746","Time","35:51"
"5747","Moving Time","35:49"
"5748","Elapsed Time","35:57"
"5749","Avg Speed","8.4 mph"
"5750","Avg Moving Speed","8.4 mph"
"5751","Max Speed","10.5 mph"
"5752","Total Ascent","336.5 ft"
"5753","Total Descent","307.5 ft"
"5754","Min Elev","630.3 ft"
"5755","Max Elev","741.5 ft"
"5756","Avg Run Cadence","153 spm"
"5757","Max Run Cadence","170 spm"
"5758","Avg Stride Length","1.47 m"
"5759","title","Athens Running"
"5760","Distance","7.01 mi"
"5761","Calories Burned","898 C"
"5762","Calories Consumed","-- C"
"5763","Calories Net","-898 C"
"5764","Est. Sweat Loss","330 ml"
"5765","Fluid Consumed","-- ml"
"5766","Fluid Net","-330 ml"
"5767","Aerobic","4.3 Highly Impacting"
"5768","Anaerobic","0.2 No Benefit"
"5769","Avg HR","167 bpm"
"5770","Max HR","180 bpm"
"5771","Time","55:03"
"5772","Moving Time","54:47"
"5773","Elapsed Time","56:11"
"5774","Avg Speed","7.6 mph"
"5775","Avg Moving Speed","7.7 mph"
"5776","Max Speed","10.7 mph"
"5777","Total Ascent","456.0 ft"
"5778","Total Descent","376.0 ft"
"5779","Min Elev","632.8 ft"
"5780","Max Elev","741.5 ft"
"5781","Avg Run Cadence","146 spm"
"5782","Max Run Cadence","186 spm"
"5783","Avg Stride Length","1.40 m"
"5784","title","Athens Running"
"5785","Distance","3.13 mi"
"5786","Calories Burned","420 C"
"5787","Calories Consumed","-- C"
"5788","Calories Net","-420 C"
"5789","Est. Sweat Loss","197 ml"
"5790","Fluid Consumed","-- ml"
"5791","Fluid Net","-197 ml"
"5792","Aerobic","2.4 Maintaining"
"5793","Anaerobic","0.0 No Benefit"
"5794","Avg HR","144 bpm"
"5795","Max HR","169 bpm"
"5796","Time","32:51"
"5797","Moving Time","32:50"
"5798","Elapsed Time","32:57"
"5799","Avg Speed","5.7 mph"
"5800","Avg Moving Speed","5.7 mph"
"5801","Max Speed","7.4 mph"
"5802","Total Ascent","102.4 ft"
"5803","Total Descent","95.8 ft"
"5804","Min Elev","690.9 ft"
"5805","Max Elev","741.5 ft"
"5806","Avg Run Cadence","141 spm"
"5807","Max Run Cadence","164 spm"
"5808","Avg Stride Length","1.09 m"
"5809","title","Athens Running"
"5810","Distance","8.15 mi"
"5811","Calories Burned","1,064 C"
"5812","Calories Consumed","-- C"
"5813","Calories Net","-1,064 C"
"5814","Est. Sweat Loss","400 ml"
"5815","Fluid Consumed","-- ml"
"5816","Fluid Net","-400 ml"
"5817","Aerobic","4.3 Highly Impacting"
"5818","Anaerobic","0.2 No Benefit"
"5819","Avg HR","165 bpm"
"5820","Max HR","180 bpm"
"5821","Time","1:06:41"
"5822","Moving Time","1:06:19"
"5823","Elapsed Time","1:07:02"
"5824","Avg Speed","7.3 mph"
"5825","Avg Moving Speed","7.4 mph"
"5826","Max Speed","9.5 mph"
"5827","Total Ascent","1,060.8 ft"
"5828","Total Descent","896.7 ft"
"5829","Min Elev","628.2 ft"
"5830","Max Elev","804.5 ft"
"5831","Avg Run Cadence","147 spm"
"5832","Max Run Cadence","245 spm"
"5833","Avg Stride Length","1.34 m"
"5834","title","Athens Running"
"5835","Distance","12.01 mi"
"5836","Calories Burned","1,462 C"
"5837","Calories Consumed","-- C"
"5838","Calories Net","-1,462 C"
"5839","Est. Sweat Loss","588 ml"
"5840","Fluid Consumed","-- ml"
"5841","Fluid Net","-588 ml"
"5842","Aerobic","4.5 Highly Impacting"
"5843","Anaerobic","0.7 No Benefit"
"5844","Avg HR","162 bpm"
"5845","Max HR","179 bpm"
"5846","Time","1:38:10"
"5847","Moving Time","1:37:47"
"5848","Elapsed Time","1:44:25"
"5849","Avg Speed","7.3 mph"
"5850","Avg Moving Speed","7.4 mph"
"5851","Max Speed","10.0 mph"
"5852","Total Ascent","653.3 ft"
"5853","Total Descent","612.9 ft"
"5854","Min Elev","580.7 ft"
"5855","Max Elev","780.8 ft"
"5856","Avg Run Cadence","147 spm"
"5857","Max Run Cadence","173 spm"
"5858","Avg Stride Length","1.34 m"
"5859","title","Athens Running"
"5860","Distance","3.02 mi"
"5861","Calories Burned","410 C"
"5862","Calories Consumed","-- C"
"5863","Calories Net","-410 C"
"5864","Est. Sweat Loss","174 ml"
"5865","Fluid Consumed","-- ml"
"5866","Fluid Net","-174 ml"
"5867","Aerobic","2.8 Maintaining"
"5868","Anaerobic","0.0 No Benefit"
"5869","Avg HR","150 bpm"
"5870","Max HR","165 bpm"
"5871","Time","29:04"
"5872","Moving Time","29:01"
"5873","Elapsed Time","29:19"
"5874","Avg Speed","6.2 mph"
"5875","Avg Moving Speed","6.2 mph"
"5876","Max Speed","7.1 mph"
"5877","Total Ascent","124.5 ft"
"5878","Total Descent","109.6 ft"
"5879","Min Elev","631.6 ft"
"5880","Max Elev","741.5 ft"
"5881","Avg Run Cadence","143 spm"
"5882","Max Run Cadence","152 spm"
"5883","Avg Stride Length","1.17 m"
"5884","title","Athens Running"
"5885","Distance","5.02 mi"
"5886","Calories Burned","614 C"
"5887","Calories Consumed","-- C"
"5888","Calories Net","-614 C"
"5889","Est. Sweat Loss","216 ml"
"5890","Fluid Consumed","-- ml"
"5891","Fluid Net","-216 ml"
"5892","Aerobic","4.0 Highly Impacting"
"5893","Anaerobic","0.1 No Benefit"
"5894","Avg HR","174 bpm"
"5895","Max HR","184 bpm"
"5896","Time","36:06"
"5897","Moving Time","36:05"
"5898","Elapsed Time","36:06"
"5899","Avg Speed","8.3 mph"
"5900","Avg Moving Speed","8.3 mph"
"5901","Max Speed","10.2 mph"
"5902","Total Ascent","316.7 ft"
"5903","Total Descent","222.4 ft"
"5904","Min Elev","628.4 ft"
"5905","Max Elev","741.5 ft"
"5906","Avg Run Cadence","152 spm"
"5907","Max Run Cadence","169 spm"
"5908","Avg Stride Length","1.47 m"
"5909","title","Athens Running"
"5910","Distance","8.10 mi"
"5911","Calories Burned","1,008 C"
"5912","Calories Consumed","-- C"
"5913","Calories Net","-1,008 C"
"5914","Est. Sweat Loss","397 ml"
"5915","Fluid Consumed","-- ml"
"5916","Fluid Net","-397 ml"
"5917","Aerobic","4.0 Highly Impacting"
"5918","Anaerobic","0.1 No Benefit"
"5919","Avg HR","161 bpm"
"5920","Max HR","180 bpm"
"5921","Time","1:06:11"
"5922","Moving Time","1:06:08"
"5923","Elapsed Time","1:06:14"
"5924","Avg Speed","7.3 mph"
"5925","Avg Moving Speed","7.3 mph"
"5926","Max Speed","8.3 mph"
"5927","Total Ascent","526.6 ft"
"5928","Total Descent","424.8 ft"
"5929","Min Elev","635.3 ft"
"5930","Max Elev","741.5 ft"
"5931","Avg Run Cadence","147 spm"
"5932","Max Run Cadence","164 spm"
"5933","Avg Stride Length","1.34 m"
"5934","title","Athens Running"
"5935","Distance","3.01 mi"
"5936","Calories Burned","424 C"
"5937","Calories Consumed","-- C"
"5938","Calories Net","-424 C"
"5939","Est. Sweat Loss","184 ml"
"5940","Fluid Consumed","-- ml"
"5941","Fluid Net","-184 ml"
"5942","Aerobic","2.6 Maintaining"
"5943","Anaerobic","0.0 No Benefit"
"5944","Avg HR","148 bpm"
"5945","Max HR","169 bpm"
"5946","Time","30:45"
"5947","Moving Time","30:45"
"5948","Elapsed Time","30:45"
"5949","Avg Speed","5.9 mph"
"5950","Avg Moving Speed","5.9 mph"
"5951","Max Speed","7.6 mph"
"5952","Total Ascent","133.5 ft"
"5953","Total Descent","110.4 ft"
"5954","Min Elev","632.0 ft"
"5955","Max Elev","741.5 ft"
"5956","Avg Run Cadence","142 spm"
"5957","Max Run Cadence","155 spm"
"5958","Avg Stride Length","1.11 m"
"5959","title","Running"
"5960","Distance","7.25 mi"
"5961","Calories Burned","933 C"
"5962","Calories Consumed","-- C"
"5963","Calories Net","-933 C"
"5964","Est. Sweat Loss","359 ml"
"5965","Fluid Consumed","-- ml"
"5966","Fluid Net","-359 ml"
"5967","Aerobic","3.9 Impacting"
"5968","Anaerobic","1.8 Some Benefit"
"5969","Avg HR","160 bpm"
"5970","Max HR","180 bpm"
"5971","Time","59:57"
"5972","Moving Time","59:47"
"5973","Elapsed Time","1:00:57"
"5974","Avg Speed","7.3 mph"
"5975","Avg Moving Speed","7.3 mph"
"5976","Max Speed","8.2 mph"
"5977","Avg Run Cadence","145 spm"
"5978","Max Run Cadence","158 spm"
"5979","Avg Stride Length","1.34 m"
"5980","title","Athens Running"
"5981","Distance","10.00 mi"
"5982","Calories Burned","1,239 C"
"5983","Calories Consumed","-- C"
"5984","Calories Net","-1,239 C"
"5985","Est. Sweat Loss","497 ml"
"5986","Fluid Consumed","-- ml"
"5987","Fluid Net","-497 ml"
"5988","Aerobic","4.2 Highly Impacting"
"5989","Anaerobic","0.2 No Benefit"
"5990","Avg HR","162 bpm"
"5991","Max HR","174 bpm"
"5992","Time","1:22:52"
"5993","Moving Time","1:22:43"
"5994","Elapsed Time","1:23:30"
"5995","Avg Speed","7.2 mph"
"5996","Avg Moving Speed","7.3 mph"
"5997","Max Speed","8.5 mph"
"5998","Total Ascent","557.6 ft"
"5999","Total Descent","582.0 ft"
"6000","Min Elev","632.5 ft"
"6001","Max Elev","741.5 ft"
"6002","Avg Run Cadence","146 spm"
"6003","Max Run Cadence","164 spm"
"6004","Avg Stride Length","1.33 m"
"6005","title","Athens Running"
"6006","Distance","3.48 mi"
"6007","Calories Burned","423 C"
"6008","Calories Consumed","-- C"
"6009","Calories Net","-423 C"
"6010","Est. Sweat Loss","161 ml"
"6011","Fluid Consumed","-- ml"
"6012","Fluid Net","-161 ml"
"6013","Aerobic","3.2 Impacting"
"6014","Anaerobic","0.0 No Benefit"
"6015","Avg HR","162 bpm"
"6016","Max HR","173 bpm"
"6017","Time","26:51"
"6018","Moving Time","26:34"
"6019","Elapsed Time","27:05"
"6020","Avg Speed","7.8 mph"
"6021","Avg Moving Speed","7.8 mph"
"6022","Max Speed","9.5 mph"
"6023","Total Ascent","148.1 ft"
"6024","Total Descent","89.5 ft"
"6025","Min Elev","632.1 ft"
"6026","Max Elev","741.5 ft"
"6027","Avg Run Cadence","147 spm"
"6028","Max Run Cadence","164 spm"
"6029","Avg Stride Length","1.41 m"
"6030","title","Athens Running"
"6031","Distance","5.52 mi"
"6032","Calories Burned","665 C"
"6033","Calories Consumed","-- C"
"6034","Calories Net","-665 C"
"6035","Est. Sweat Loss","253 ml"
"6036","Fluid Consumed","-- ml"
"6037","Fluid Net","-253 ml"
"6038","Aerobic","3.6 Impacting"
"6039","Anaerobic","0.9 No Benefit"
"6040","Avg HR","163 bpm"
"6041","Max HR","180 bpm"
"6042","Time","42:12"
"6043","Moving Time","41:44"
"6044","Elapsed Time","49:04"
"6045","Avg Speed","7.9 mph"
"6046","Avg Moving Speed","7.9 mph"
"6047","Max Speed","12.5 mph"
"6048","Total Ascent","300.4 ft"
"6049","Total Descent","303.8 ft"
"6050","Min Elev","629.3 ft"
"6051","Max Elev","780.8 ft"
"6052","Avg Run Cadence","147 spm"
"6053","Max Run Cadence","221 spm"
"6054","Avg Stride Length","1.43 m"
"6055","title","Athens Running"
"6056","Distance","3.01 mi"
"6057","Calories Burned","398 C"
"6058","Calories Consumed","-- C"
"6059","Calories Net","-398 C"
"6060","Est. Sweat Loss","187 ml"
"6061","Fluid Consumed","-- ml"
"6062","Fluid Net","-187 ml"
"6063","Aerobic","2.3 Maintaining"
"6064","Anaerobic","0.0 No Benefit"
"6065","Avg HR","143 bpm"
"6066","Max HR","155 bpm"
"6067","Time","31:20"
"6068","Moving Time","31:19"
"6069","Elapsed Time","31:20"
"6070","Avg Speed","5.8 mph"
"6071","Avg Moving Speed","5.8 mph"
"6072","Max Speed","6.8 mph"
"6073","Total Ascent","153.8 ft"
"6074","Total Descent","45.3 ft"
"6075","Min Elev","630.8 ft"
"6076","Max Elev","741.5 ft"
"6077","Avg Run Cadence","142 spm"
"6078","Max Run Cadence","155 spm"
"6079","Avg Stride Length","1.09 m"
"6080","title","Athens Running"
"6081","Distance","7.01 mi"
"6082","Calories Burned","868 C"
"6083","Calories Consumed","-- C"
"6084","Calories Net","-868 C"
"6085","Est. Sweat Loss","326 ml"
"6086","Fluid Consumed","-- ml"
"6087","Fluid Net","-326 ml"
"6088","Aerobic","4.1 Highly Impacting"
"6089","Anaerobic","0.2 No Benefit"
"6090","Avg HR","165 bpm"
"6091","Max HR","181 bpm"
"6092","Time","54:21"
"6093","Moving Time","54:17"
"6094","Elapsed Time","55:14"
"6095","Avg Speed","7.7 mph"
"6096","Avg Moving Speed","7.7 mph"
"6097","Max Speed","10.7 mph"
"6098","Total Ascent","397.2 ft"
"6099","Total Descent","340.3 ft"
"6100","Min Elev","630.6 ft"
"6101","Max Elev","750.4 ft"
"6102","Avg Run Cadence","147 spm"
"6103","Max Run Cadence","218 spm"
"6104","Avg Stride Length","1.41 m"
"6105","title","Athens Running"
"6106","Distance","12.01 mi"
"6107","Calories Burned","1,528 C"
"6108","Calories Consumed","-- C"
"6109","Calories Net","-1,528 C"
"6110","Est. Sweat Loss","600 ml"
"6111","Fluid Consumed","-- ml"
"6112","Fluid Net","-600 ml"
"6113","Aerobic","4.5 Highly Impacting"
"6114","Anaerobic","0.2 No Benefit"
"6115","Avg HR","162 bpm"
"6116","Max HR","176 bpm"
"6117","Time","1:40:08"
"6118","Moving Time","1:39:42"
"6119","Elapsed Time","1:43:02"
"6120","Avg Speed","7.2 mph"
"6121","Avg Moving Speed","7.2 mph"
"6122","Max Speed","11.2 mph"
"6123","Total Ascent","645.0 ft"
"6124","Total Descent","601.9 ft"
"6125","Min Elev","580.7 ft"
"6126","Max Elev","780.8 ft"
"6127","Avg Run Cadence","146 spm"
"6128","Max Run Cadence","167 spm"
"6129","Avg Stride Length","1.32 m"
"6130","title","Athens Running"
"6131","Distance","3.02 mi"
"6132","Calories Burned","432 C"
"6133","Calories Consumed","-- C"
"6134","Calories Net","-432 C"
"6135","Est. Sweat Loss","180 ml"
"6136","Fluid Consumed","-- ml"
"6137","Fluid Net","-180 ml"
"6138","Aerobic","2.8 Maintaining"
"6139","Anaerobic","0.0 No Benefit"
"6140","Avg HR","150 bpm"
"6141","Max HR","166 bpm"
"6142","Time","30:05"
"6143","Moving Time","30:05"
"6144","Elapsed Time","30:05"
"6145","Avg Speed","6.0 mph"
"6146","Avg Moving Speed","6.0 mph"
"6147","Max Speed","7.1 mph"
"6148","Total Ascent","149.4 ft"
"6149","Total Descent","96.2 ft"
"6150","Min Elev","654.0 ft"
"6151","Max Elev","761.6 ft"
"6152","Avg Run Cadence","143 spm"
"6153","Max Run Cadence","152 spm"
"6154","Avg Stride Length","1.13 m"
"6155","title","Athens Running"
"6156","Distance","5.00 mi"
"6157","Calories Burned","631 C"
"6158","Calories Consumed","-- C"
"6159","Calories Net","-631 C"
"6160","Est. Sweat Loss","228 ml"
"6161","Fluid Consumed","-- ml"
"6162","Fluid Net","-228 ml"
"6163","Aerobic","3.9 Impacting"
"6164","Anaerobic","0.1 No Benefit"
"6165","Avg HR","169 bpm"
"6166","Max HR","182 bpm"
"6167","Time","38:09"
"6168","Moving Time","38:07"
"6169","Elapsed Time","38:09"
"6170","Avg Speed","7.9 mph"
"6171","Avg Moving Speed","7.9 mph"
"6172","Max Speed","9.0 mph"
"6173","Total Ascent","271.9 ft"
"6174","Total Descent","218.2 ft"
"6175","Min Elev","634.0 ft"
"6176","Max Elev","741.5 ft"
"6177","Avg Run Cadence","148 spm"
"6178","Max Run Cadence","160 spm"
"6179","Avg Stride Length","1.42 m"
"6180","title","Athens Running"
"6181","Distance","8.00 mi"
"6182","Calories Burned","1,014 C"
"6183","Calories Consumed","-- C"
"6184","Calories Net","-1,014 C"
"6185","Est. Sweat Loss","387 ml"
"6186","Fluid Consumed","-- ml"
"6187","Fluid Net","-387 ml"
"6188","Aerobic","4.2 Highly Impacting"
"6189","Anaerobic","0.1 No Benefit"
"6190","Avg HR","162 bpm"
"6191","Max HR","179 bpm"
"6192","Time","1:04:32"
"6193","Moving Time","1:04:29"
"6194","Elapsed Time","1:05:00"
"6195","Avg Speed","7.4 mph"
"6196","Avg Moving Speed","7.4 mph"
"6197","Max Speed","9.4 mph"
"6198","Total Ascent","356.9 ft"
"6199","Total Descent","299.4 ft"
"6200","Min Elev","631.4 ft"
"6201","Max Elev","756.9 ft"
"6202","Avg Run Cadence","148 spm"
"6203","Max Run Cadence","184 spm"
"6204","Avg Stride Length","1.35 m"
"6205","title","Athens Running"
"6206","Distance","3.06 mi"
"6207","Calories Burned","396 C"
"6208","Calories Consumed","-- C"
"6209","Calories Net","-396 C"
"6210","Est. Sweat Loss","179 ml"
"6211","Fluid Consumed","-- ml"
"6212","Fluid Net","-179 ml"
"6213","Aerobic","2.5 Maintaining"
"6214","Anaerobic","0.0 No Benefit"
"6215","Avg HR","144 bpm"
"6216","Max HR","156 bpm"
"6217","Time","29:53"
"6218","Moving Time","29:51"
"6219","Elapsed Time","29:53"
"6220","Avg Speed","6.2 mph"
"6221","Avg Moving Speed","6.2 mph"
"6222","Max Speed","7.2 mph"
"6223","Total Ascent","102.0 ft"
"6224","Total Descent","51.8 ft"
"6225","Min Elev","659.9 ft"
"6226","Max Elev","756.1 ft"
"6227","Avg Run Cadence","142 spm"
"6228","Max Run Cadence","152 spm"
"6229","Avg Stride Length","1.16 m"
"6230","title","Athens Running"
"6231","Distance","7.00 mi"
"6232","Calories Burned","795 C"
"6233","Calories Consumed","-- C"
"6234","Calories Net","-795 C"
"6235","Est. Sweat Loss","342 ml"
"6236","Fluid Consumed","-- ml"
"6237","Fluid Net","-342 ml"
"6238","Aerobic","3.4 Impacting"
"6239","Anaerobic","0.2 No Benefit"
"6240","Avg HR","151 bpm"
"6241","Max HR","179 bpm"
"6242","Time","57:02"
"6243","Moving Time","56:46"
"6244","Elapsed Time","57:49"
"6245","Avg Speed","7.4 mph"
"6246","Avg Moving Speed","7.4 mph"
"6247","Max Speed","9.0 mph"
"6248","Total Ascent","458.0 ft"
"6249","Total Descent","362.8 ft"
"6250","Min Elev","636.7 ft"
"6251","Max Elev","741.5 ft"
"6252","Avg Run Cadence","148 spm"
"6253","Max Run Cadence","170 spm"
"6254","Avg Stride Length","1.33 m"
"6255","title","Athens Running"
"6256","Distance","12.01 mi"
"6257","Calories Burned","1,395 C"
"6258","Calories Consumed","-- C"
"6259","Calories Net","-1,395 C"
"6260","Est. Sweat Loss","593 ml"
"6261","Fluid Consumed","-- ml"
"6262","Fluid Net","-593 ml"
"6263","Aerobic","4.1 Highly Impacting"
"6264","Anaerobic","0.3 No Benefit"
"6265","Avg HR","157 bpm"
"6266","Max HR","177 bpm"
"6267","Time","1:38:54"
"6268","Moving Time","1:38:22"
"6269","Elapsed Time","1:42:00"
"6270","Avg Speed","7.3 mph"
"6271","Avg Moving Speed","7.3 mph"
"6272","Max Speed","10.4 mph"
"6273","Total Ascent","651.9 ft"
"6274","Total Descent","607.9 ft"
"6275","Min Elev","580.7 ft"
"6276","Max Elev","780.8 ft"
"6277","Avg Run Cadence","145 spm"
"6278","Max Run Cadence","187 spm"
"6279","Avg Stride Length","1.35 m"
"6280","title","Athens Running"
"6281","Distance","3.25 mi"
"6282","Calories Burned","461 C"
"6283","Calories Consumed","-- C"
"6284","Calories Net","-461 C"
"6285","Est. Sweat Loss","196 ml"
"6286","Fluid Consumed","-- ml"
"6287","Fluid Net","-196 ml"
"6288","Aerobic","2.8 Maintaining"
"6289","Anaerobic","0.0 No Benefit"
"6290","Avg HR","149 bpm"
"6291","Max HR","161 bpm"
"6292","Time","32:47"
"6293","Moving Time","32:46"
"6294","Elapsed Time","32:47"
